album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,release_date,plays,relative plays per album
Sleep Well Beast,1,Nobody Else Will Be There,spotify:track:442vojce8QY34Fy0OfIDtr,280773,0.757,0.657,0.541,0.588,0.0589,-10.883,0.0296,99.022,0.568,9,4,48,6,2017-09-08,19079299,10.064938488753993
Sleep Well Beast,2,Day I Die,spotify:track:5tOQgKuJEU01GjoHhVFCjn,271533,0.00406,0.432,0.947,0.737,0.0777,-5.442,0.0943,147.981,0.386,2,4,52,6,2017-09-08,24326218,12.832855538037336
Sleep Well Beast,3,Walk It Back,spotify:track:55OYWH9Pb14Fn9XIYiqK5c,359360,0.644,0.727,0.475,0.894,0.434,-12.468,0.0616,126.046,0.112,9,4,41,6,2017-09-08,9753957,5.1455232829545485
Sleep Well Beast,4,The System Only Dreams in Total Darkness,spotify:track:612R6rJlv9N3wpljUpT8Ja,236746,0.156,0.596,0.912,0.794,0.584,-6.74,0.211,110.014,0.371,0,4,57,6,2017-09-08,40426100,21.326056572634972
Sleep Well Beast,5,Born to Beg,spotify:track:5oMorrhWYwqvcBEFsT2Pkx,262679,0.925,0.528,0.63,0.858,0.101,-13.168,0.0611,169.48,0.267,7,4,41,6,2017-09-08,9100498,4.800802827558221
Sleep Well Beast,6,Turtleneck,spotify:track:0Mn1Ku0kJLFbSzLPq0BtIq,180000,0.0762,0.427,0.991,0.827,0.167,-3.831,0.212,109.875,0.104,5,4,39,6,2017-09-08,6687468,3.5278525728597625
Sleep Well Beast,7,Empire Line,spotify:track:7sE9UKlqaAyMC4B9er9Z1d,323760,0.519,0.593,0.643,0.774,0.102,-10.995,0.0351,116.03,0.363,7,4,47,6,2017-09-08,10757936,5.675154213262877
Sleep Well Beast,8,I'll Still Destroy You,spotify:track:5L6YfOfsBnaKJHpgsxVgsV,315280,0.332,0.536,0.837,0.787,0.1,-7.494,0.0558,145.001,0.26,1,4,46,6,2017-09-08,9924593,5.235539212993017
Sleep Well Beast,9,Guilty Party,spotify:track:44K14Xsq0SbmEavHr5H141,338973,0.702,0.368,0.686,0.777,0.124,-8.332,0.0735,182.262,0.588,2,5,50,6,2017-09-08,21573907,11.380923739236918
Sleep Well Beast,10,Carin at the Liquor Store,spotify:track:5nQJn8mJryraorVcTnIIOo,213733,0.594,0.54,0.615,0.799,0.12,-9.264,0.034,93.17,0.239,10,3,45,6,2017-09-08,14699843,7.754635827518661
Sleep Well Beast,11,Dark Side of the Gym,spotify:track:5nKH6bOVogJdgfH031s1P1,290093,0.727,0.642,0.475,0.781,0.12,-11.404,0.0294,103.956,0.453,2,3,50,6,2017-09-08,17950867,9.469654633265296
Sleep Well Beast,12,Sleep Well Beast,spotify:track:1ZiCI5KyHTd1LFh4bsJ0En,393186,0.773,0.451,0.603,0.645,0.118,-11.407,0.0798,137.981,0.349,2,4,38,6,2017-09-08,5281317,2.7860630909243977
I Am Easy to Find,1,You Had Your Soul With You,spotify:track:5cBrqDgmdbgH6ncuy1hGDs,206280,0.0194,0.521,0.777,0.0953,0.0865,-5.823,0.0878,154.015,0.278,5,4,51,7,2019-05-17,16301113,12.205659923170542
I Am Easy to Find,2,Quiet Light,spotify:track:0kje3SpbIHS7SoEk6QG5xn,255280,0.201,0.625,0.883,0.885,0.118,-6.99,0.0485,105.994,0.355,11,4,46,7,2019-05-17,8831840,6.612949406329158
